Student_ID,Study_Hours,Attendance,Assignment_Score,Internal_Marks,Previous_GPA,Extracurricular_Hours
S0001,5.0,87.8,76.9,90.2,7.86,3.4
S0002,2.6,67.2,53.1,62.1,6.37,3.3
S0003,5.9,89.4,90.0,100.0,8.32,2.5
S0004,6.2,100.0,93.6,79.7,9.65,4.9
S0005,1.0,64.0,35.0,41.7,5.68,4.5
S0006,2.2,74.0,65.8,51.5,5.76,0.5
S0007,4.7,92.4,78.7,63.5,7.55,0.4
S0008,3.9,78.2,61.4,77.7,7.14,4.9
S0009,4.5,91.6,87.0,75.0,7.16,2.2
S0010,3.0,79.2,68.8,68.5,6.97,4.7
S0011,6.1,83.4,76.6,100.0,8.34,5.7
S0012,5.9,100.0,100.0,87.2,8.61,1.2
S0013,4.6,81.2,81.2,71.7,7.67,0.9
S0014,6.5,82.3,89.4,90.1,9.15,7.7
S0015,5.3,80.6,93.5,88.1,7.8,4.8
S0016,3.0,66.5,61.8,54.2,6.07,3.1
S0017,5.2,89.5,81.5,76.5,8.53,1.9
S0018,2.8,72.2,55.4,67.6,6.61,2.9
S0019,6.1,91.5,93.3,91.8,8.23,1.4
S0020,4.4,90.0,80.4,59.9,7.47,5.9
S0021,4.2,86.1,74.1,63.5,7.33,2.3
S0022,3.3,80.5,60.0,77.2,6.8,6.4
S0023,6.7,100.0,96.2,99.0,8.3,3.1
S0024,4.2,88.9,74.5,68.5,6.65,1.7
S0025,3.7,61.4,54.0,61.4,6.0,3.1
S0026,3.9,77.9,58.0,68.8,6.45,0.0
S0027,5.5,71.1,83.8,84.0,7.25,3.7
S0028,5.2,89.3,60.9,70.6,8.12,3.6
S0029,5.2,89.4,83.9,75.3,7.81,5.8
S0030,5.3,99.1,81.1,87.4,8.23,0.0
S0031,8.4,100.0,100.0,100.0,9.22,6.6
S0032,3.8,82.4,66.3,73.9,6.74,5.8
S0033,3.6,75.0,72.3,55.9,6.92,6.8
S0034,3.0,80.6,61.5,66.4,6.79,3.9
S0035,5.6,86.9,85.1,92.7,7.69,6.2
S0036,6.5,97.2,99.2,97.6,8.82,0.8
S0037,4.3,92.6,72.8,77.3,8.46,5.6
S0038,3.0,70.9,69.9,59.5,6.24,2.3
S0039,3.0,83.3,57.2,57.5,6.27,0.4
S0040,5.7,98.1,89.8,87.2,8.25,1.5
S0041,5.8,84.4,92.6,94.9,8.11,4.0
S0042,5.5,99.6,91.8,85.9,8.2,2.2
S0043,3.3,84.1,82.7,59.4,6.73,4.8
S0044,4.9,88.4,73.7,75.5,7.04,0.0
S0045,4.7,79.4,65.0,76.8,6.93,0.0
S0046,4.9,79.6,69.5,73.6,7.39,7.0
S0047,6.1,89.6,93.4,91.9,8.25,6.0
